tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
strobealign-0.14.0,align,sim3,drosophila,50,99.68485,90.3354,3262,14.90,0.951725
strobealign-0.14.0,align,sim3,drosophila,75,99.8138,91.6398,3577,16.27,0.99284
strobealign-0.14.0,align,sim3,drosophila,100,99.8043,92.37945,3873,18.80,1.02771
strobealign-0.14.0,align,sim3,drosophila,150,99.78395,93.2242,4299,24.74,1.12971
strobealign-0.14.0,align,sim3,drosophila,200,99.74355,93.52555,5116,30.22,1.25152
strobealign-0.14.0,align,sim3,drosophila,300,99.69515,95.38125,6097,49.70,1.46545
strobealign-0.14.0,align,sim3,drosophila,500,99.5807,95.73155,8336,93.01,1.75632
strobealign-0.14.0,align,sim4,drosophila,50,98.87295,89.43415,6008,15.96,0.936577
strobealign-0.14.0,align,sim4,drosophila,75,99.61345,91.3445,6411,17.52,0.98138
strobealign-0.14.0,align,sim4,drosophila,100,99.62255,92.11185,6989,20.19,1.02502
strobealign-0.14.0,align,sim4,drosophila,150,99.5896,92.93845,8122,26.72,1.16973
strobealign-0.14.0,align,sim4,drosophila,200,99.5448,93.26665,9089,35.26,1.27244
strobealign-0.14.0,align,sim4,drosophila,300,99.43065,95.03055,11387,66.54,1.48158
strobealign-0.14.0,align,sim4,drosophila,500,99.21995,95.29595,15566,149.78,1.69654
strobealign-0.14.0,align,sim5,drosophila,50,97.05785,87.58535,12134,16.16,0.930145
strobealign-0.14.0,align,sim5,drosophila,75,98.4902,90.1271,12919,17.92,0.999352
strobealign-0.14.0,align,sim5,drosophila,100,98.9495,91.27745,14215,21.02,1.04327
strobealign-0.14.0,align,sim5,drosophila,150,99.14305,92.34365,16169,28.60,1.1871
strobealign-0.14.0,align,sim5,drosophila,200,99.0584,92.6491,18322,42.33,1.27419
strobealign-0.14.0,align,sim5,drosophila,300,98.86755,94.42885,22644,88.40,1.49007
strobealign-0.14.0,align,sim5,drosophila,500,98.5458,94.46245,29084,195.97,1.64328
strobealign-mcs-022a721,align,sim3,drosophila,50,99.80845,90.49635,3262,16.76,0.961727
strobealign-mcs-022a721,align,sim3,drosophila,75,99.8173,91.67255,3577,20.61,0.974735
strobealign-mcs-022a721,align,sim3,drosophila,100,99.80545,92.4203,3873,21.32,1.0033
strobealign-mcs-022a721,align,sim3,drosophila,150,99.7841,93.2202,4299,27.99,1.0976
strobealign-mcs-022a721,align,sim3,drosophila,200,99.7439,93.56075,5116,33.56,1.22694
strobealign-mcs-022a721,align,sim3,drosophila,300,99.69515,95.37105,6097,54.54,1.4491
strobealign-mcs-022a721,align,sim3,drosophila,500,99.58075,95.747,8336,95.14,1.72938
strobealign-mcs-022a721,align,sim4,drosophila,50,99.555,90.09435,6008,17.79,0.942047
strobealign-mcs-022a721,align,sim4,drosophila,75,99.6653,91.4323,6411,21.48,0.992207
strobealign-mcs-022a721,align,sim4,drosophila,100,99.6501,92.1335,6989,23.04,1.02054
strobealign-mcs-022a721,align,sim4,drosophila,150,99.59355,92.962,8122,31.49,1.10627
strobealign-mcs-022a721,align,sim4,drosophila,200,99.54555,93.3136,9089,42.46,1.22313
strobealign-mcs-022a721,align,sim4,drosophila,300,99.43065,95.029,11387,74.15,1.46257
strobealign-mcs-022a721,align,sim4,drosophila,500,99.21995,95.32545,15566,157.77,1.73624
strobealign-mcs-022a721,align,sim5,drosophila,50,98.24625,88.52875,12134,18.30,0.949474
strobealign-mcs-022a721,align,sim5,drosophila,75,98.65375,90.3218,12919,21.66,0.994698
strobealign-mcs-022a721,align,sim5,drosophila,100,99.1252,91.4404,14215,23.61,1.01959
strobealign-mcs-022a721,align,sim5,drosophila,150,99.1855,92.42415,16169,34.54,1.11488
strobealign-mcs-022a721,align,sim5,drosophila,200,99.08195,92.68065,18322,51.00,1.23264
strobealign-mcs-022a721,align,sim5,drosophila,300,98.86775,94.43295,22644,99.93,1.45588
strobealign-mcs-022a721,align,sim5,drosophila,500,98.5458,94.4707,29084,211.02,1.63939
bwamem,align,sim3,drosophila,50,99.7669,90.4915,3262,45.520,2.0758
bwamem,align,sim3,drosophila,75,99.8128,91.73235,3577,56.576,1.5076
bwamem,align,sim3,drosophila,100,99.80635,92.42745,3873,44.444,1.19816
bwamem,align,sim3,drosophila,150,99.78505,93.2454,4299,61.993,0.967785
bwamem,align,sim3,drosophila,200,99.7442,93.56395,5116,81.843,0.878311
bwamem,align,sim3,drosophila,300,99.69515,95.4086,6097,134.858,0.847855
bwamem,align,sim3,drosophila,500,99.58065,95.73675,8336,249.190,0.83807
bwamem,align,sim4,drosophila,50,99.3206,90.01905,6008,46.534,2.09303
bwamem,align,sim4,drosophila,75,99.62745,91.41475,6411,60.670,1.54759
bwamem,align,sim4,drosophila,100,99.64935,92.183,6989,51.639,1.22884
bwamem,align,sim4,drosophila,150,99.5939,92.9699,8122,75.907,0.988804
bwamem,align,sim4,drosophila,200,99.54555,93.28015,9089,103.234,0.89249
bwamem,align,sim4,drosophila,300,99.43065,95.0347,11387,176.253,0.848446
bwamem,align,sim4,drosophila,500,99.21995,95.33095,15566,333.384,0.836399
bwamem,align,sim5,drosophila,50,97.44005,88.0996,12134,47.873,2.06763
bwamem,align,sim5,drosophila,75,98.35265,90.063,12919,61.944,1.54543
bwamem,align,sim5,drosophila,100,98.8894,91.25295,14215,52.030,1.23535
bwamem,align,sim5,drosophila,150,99.18135,92.3238,16169,76.259,0.998238
bwamem,align,sim5,drosophila,200,99.07855,92.5206,18322,106.120,0.901321
bwamem,align,sim5,drosophila,300,98.86775,94.19565,22644,183.918,0.866203
bwamem,align,sim5,drosophila,500,98.5458,94.35745,29084,322.784,0.869747
minimap2,align,sim3,drosophila,50,97.7945,88.31245,3262,25.806,1.69403
minimap2,align,sim3,drosophila,75,99.6926,91.3942,3577,36.916,1.57021
minimap2,align,sim3,drosophila,100,99.79365,92.2979,3873,24.746,1.49906
minimap2,align,sim3,drosophila,150,99.78415,93.21025,4299,31.544,1.23183
minimap2,align,sim3,drosophila,200,99.74415,93.4795,5116,46.607,1.17436
minimap2,align,sim3,drosophila,300,99.6951,95.29185,6097,56.276,1.1245
minimap2,align,sim3,drosophila,500,99.5806,95.4867,8336,147.710,1.2162
minimap2,align,sim4,drosophila,50,94.1595,84.88995,6008,26.704,1.68072
minimap2,align,sim4,drosophila,75,99.04195,90.6511,6411,38.920,1.56479
minimap2,align,sim4,drosophila,100,99.5591,92.02535,6989,24.445,1.47821
minimap2,align,sim4,drosophila,150,99.5915,92.9701,8122,30.758,1.26908
minimap2,align,sim4,drosophila,200,99.54535,93.2299,9089,45.741,1.19479
minimap2,align,sim4,drosophila,300,99.43065,94.91995,11387,55.473,1.12885
minimap2,align,sim4,drosophila,500,99.21995,95.06185,15566,142.727,1.23294
minimap2,align,sim5,drosophila,50,91.6492,82.482,12134,25.072,1.64742
minimap2,align,sim5,drosophila,75,97.24085,88.8155,12919,36.273,1.57361
minimap2,align,sim5,drosophila,100,98.3326,90.6441,14215,24.510,1.46756
minimap2,align,sim5,drosophila,150,99.09805,92.33565,16169,31.472,1.22929
minimap2,align,sim5,drosophila,200,99.0677,92.60805,18322,46.470,1.18652
minimap2,align,sim5,drosophila,300,98.8674,94.23515,22644,57.578,1.13196
minimap2,align,sim5,drosophila,500,98.5458,94.06505,29084,130.626,1.19361
strobealign-0.14.0,map,sim3,drosophila,50,96.6145,86.3482,458,7.31,0.936337
strobealign-0.14.0,map,sim3,drosophila,75,99.31475,90.3044,859,8.89,0.985882
strobealign-0.14.0,map,sim3,drosophila,100,99.52145,91.3518,1259,8.89,0.979065
strobealign-0.14.0,map,sim3,drosophila,150,99.72185,92.6763,1917,10.09,1.09538
strobealign-0.14.0,map,sim3,drosophila,200,99.73335,93.1841,2731,11.86,1.19528
strobealign-0.14.0,map,sim3,drosophila,300,99.69445,95.0046,4261,17.90,1.35807
strobealign-0.14.0,map,sim3,drosophila,500,99.58025,95.43545,7134,21.19,1.58116
strobealign-0.14.0,map,sim4,drosophila,50,91.99685,81.71995,802,6.99,0.93874
strobealign-0.14.0,map,sim4,drosophila,75,97.58405,88.21165,1485,7.98,0.982132
strobealign-0.14.0,map,sim4,drosophila,100,98.18835,89.5789,2100,8.36,1.02871
strobealign-0.14.0,map,sim4,drosophila,150,99.0743,91.60325,3361,9.70,1.13749
strobealign-0.14.0,map,sim4,drosophila,200,99.39355,92.4541,4622,10.97,1.20333
strobealign-0.14.0,map,sim4,drosophila,300,99.42805,94.34465,7849,15.97,1.37308
strobealign-0.14.0,map,sim4,drosophila,500,99.2199,94.65455,13199,19.20,1.60413
strobealign-0.14.0,map,sim5,drosophila,50,89.62845,79.4099,1538,6.84,0.93507
strobealign-0.14.0,map,sim5,drosophila,75,95.5391,86.15605,2895,7.77,1.00395
strobealign-0.14.0,map,sim5,drosophila,100,96.3158,87.5415,4180,8.24,1.04802
strobealign-0.14.0,map,sim5,drosophila,150,97.38225,89.75905,6473,9.05,1.11934
strobealign-0.14.0,map,sim5,drosophila,200,98.1879,91.0391,8913,10.54,1.18051
strobealign-0.14.0,map,sim5,drosophila,300,98.81775,93.6325,15107,15.69,1.38716
strobealign-0.14.0,map,sim5,drosophila,500,98.54185,93.7614,23644,17.25,1.509
strobealign-mcs-022a721,map,sim3,drosophila,50,99.60885,89.1643,1097,9.96,0.956173
strobealign-mcs-022a721,map,sim3,drosophila,75,99.7409,90.8,980,12.40,0.995525
strobealign-mcs-022a721,map,sim3,drosophila,100,99.79665,91.64755,1748,11.72,0.996277
strobealign-mcs-022a721,map,sim3,drosophila,150,99.78205,92.67675,2253,14.40,1.03896
strobealign-mcs-022a721,map,sim3,drosophila,200,99.743,93.1505,3125,16.47,1.13308
strobealign-mcs-022a721,map,sim3,drosophila,300,99.6951,94.9996,4573,23.32,1.33538
strobealign-mcs-022a721,map,sim3,drosophila,500,99.58065,95.4006,7459,26.70,1.53319
strobealign-mcs-022a721,map,sim4,drosophila,50,98.8743,87.80035,1935,9.73,0.951633
strobealign-mcs-022a721,map,sim4,drosophila,75,99.3074,89.9558,1771,12.08,0.999168
strobealign-mcs-022a721,map,sim4,drosophila,100,99.62345,91.00845,3140,11.41,0.995289
strobealign-mcs-022a721,map,sim4,drosophila,150,99.59115,92.1189,4072,13.77,1.05095
strobealign-mcs-022a721,map,sim4,drosophila,200,99.54445,92.59965,5405,15.84,1.13495
strobealign-mcs-022a721,map,sim4,drosophila,300,99.43065,94.33705,8482,21.98,1.34672
strobealign-mcs-022a721,map,sim4,drosophila,500,99.21995,94.65485,13876,25.40,1.56359
strobealign-mcs-022a721,map,sim5,drosophila,50,97.2515,85.7809,3911,9.38,0.925533
strobealign-mcs-022a721,map,sim5,drosophila,75,97.7578,88.2718,3476,11.82,0.994053
strobealign-mcs-022a721,map,sim5,drosophila,100,98.77735,89.79995,6169,11.57,1.01733
strobealign-mcs-022a721,map,sim5,drosophila,150,99.119,91.311,7975,13.55,1.05177
strobealign-mcs-022a721,map,sim5,drosophila,200,99.0692,91.7996,10634,16.20,1.13491
strobealign-mcs-022a721,map,sim5,drosophila,300,98.8673,93.6805,16513,21.91,1.34652
strobealign-mcs-022a721,map,sim5,drosophila,500,98.5458,93.7321,25106,23.71,1.49232
minimap2,map,sim3,drosophila,50,97.80195,87.71355,442,17.190,1.1422
minimap2,map,sim3,drosophila,75,99.6949,90.82535,894,29.263,1.12428
minimap2,map,sim3,drosophila,100,99.79395,91.9057,1347,11.948,1.06038
minimap2,map,sim3,drosophila,150,99.78415,92.88745,2177,18.075,0.987324
minimap2,map,sim3,drosophila,200,99.74415,93.0064,3061,25.419,0.96777
minimap2,map,sim3,drosophila,300,99.6951,94.9894,4576,35.936,0.948696
minimap2,map,sim3,drosophila,500,99.5806,94.2708,7454,117.030,1.06608
minimap2,map,sim4,drosophila,50,94.19345,84.1783,761,17.104,1.14539
minimap2,map,sim4,drosophila,75,99.056,89.97535,1560,27.706,1.11791
minimap2,map,sim4,drosophila,100,99.56195,91.4367,2345,11.405,1.06096
minimap2,map,sim4,drosophila,150,99.5915,92.52515,3924,16.404,0.986153
minimap2,map,sim4,drosophila,200,99.54535,92.67765,5310,23.240,0.955204
minimap2,map,sim4,drosophila,300,99.43065,94.4839,8474,33.201,0.923691
minimap2,map,sim4,drosophila,500,99.21995,93.8306,13878,106.048,1.02131
minimap2,map,sim5,drosophila,50,91.7266,81.81055,1468,17.663,1.12228
minimap2,map,sim5,drosophila,75,97.28765,88.2312,3072,28.541,1.10215
minimap2,map,sim5,drosophila,100,98.3654,90.1981,4627,11.010,1.05759
minimap2,map,sim5,drosophila,150,99.10465,91.994,7707,16.495,0.981323
minimap2,map,sim5,drosophila,200,99.06885,92.0749,10436,22.459,0.96249
minimap2,map,sim5,drosophila,300,98.8674,93.7654,16485,32.775,0.928246
minimap2,map,sim5,drosophila,500,98.5458,92.74705,25119,88.989,1.0251
strobealign-0.14.0,align,sim3,maize,50,99.50555,71.90275,3050,155.34,9.82927
strobealign-0.14.0,align,sim3,maize,75,99.77935,82.04545,3525,130.74,9.86022
strobealign-0.14.0,align,sim3,maize,100,99.8014,87.1317,3767,103.01,9.9096
strobealign-0.14.0,align,sim3,maize,150,99.77875,91.6851,4369,86.23,10.0312
strobealign-0.14.0,align,sim3,maize,200,99.76225,92.9603,4737,87.00,10.0589
strobealign-0.14.0,align,sim3,maize,300,99.6886,96.7008,6224,128.58,10.2873
strobealign-0.14.0,align,sim3,maize,500,99.57405,97.3405,8515,176.02,8.68784
strobealign-0.14.0,align,sim4,maize,50,98.92295,69.03995,6255,146.46,9.8249
strobealign-0.14.0,align,sim4,maize,75,99.5787,80.11335,6898,129.58,9.85654
strobealign-0.14.0,align,sim4,maize,100,99.61725,85.36345,7264,107.86,9.92606
strobealign-0.14.0,align,sim4,maize,150,99.582,90.59655,8301,94.33,10.0271
strobealign-0.14.0,align,sim4,maize,200,99.50735,92.0766,9850,102.71,10.0854
strobealign-0.14.0,align,sim4,maize,300,99.4098,96.17145,11802,154.57,10.2754
strobealign-0.14.0,align,sim4,maize,500,99.2013,96.76185,15974,261.52,8.83619
strobealign-0.14.0,align,sim5,maize,50,97.1773,67.03555,12327,142.34,9.80025
strobealign-0.14.0,align,sim5,maize,75,98.45165,78.3528,13337,128.62,9.86436
strobealign-0.14.0,align,sim5,maize,100,98.95795,83.97865,14557,110.36,9.91999
strobealign-0.14.0,align,sim5,maize,150,99.1512,89.50135,16297,98.61,10.0198
strobealign-0.14.0,align,sim5,maize,200,99.0569,91.0787,18535,115.39,10.137
strobealign-0.14.0,align,sim5,maize,300,98.87765,95.38035,22443,187.85,10.066
strobealign-0.14.0,align,sim5,maize,500,98.44805,95.82145,31039,385.00,8.81017
strobealign-mcs-022a721,align,sim3,maize,50,99.6244,72.5223,3050,183.79,9.80864
strobealign-mcs-022a721,align,sim3,maize,75,99.81315,82.025,3525,134.66,9.86893
strobealign-mcs-022a721,align,sim3,maize,100,99.809,86.86665,3767,96.30,9.90968
strobealign-mcs-022a721,align,sim3,maize,150,99.7794,91.65265,4369,98.74,10.038
strobealign-mcs-022a721,align,sim3,maize,200,99.76225,92.93715,4737,106.22,10.1363
strobealign-mcs-022a721,align,sim3,maize,300,99.6886,96.7434,6224,143.88,10.2575
strobealign-mcs-022a721,align,sim3,maize,500,99.57415,97.3856,8515,188.16,8.75364
strobealign-mcs-022a721,align,sim4,maize,50,99.4468,70.51285,6255,178.28,9.80836
strobealign-mcs-022a721,align,sim4,maize,75,99.634,80.40015,6898,134.50,9.86164
strobealign-mcs-022a721,align,sim4,maize,100,99.63535,85.4078,7264,43.35,9.90942
strobealign-mcs-022a721,align,sim4,maize,150,99.5844,90.66495,8301,108.30,10.0437
strobealign-mcs-022a721,align,sim4,maize,200,99.5075,92.12535,9850,122.22,10.131
strobealign-mcs-022a721,align,sim4,maize,300,99.4098,96.2272,11802,171.01,10.1346
strobealign-mcs-022a721,align,sim4,maize,500,99.2013,96.8218,15974,270.13,8.78079
strobealign-mcs-022a721,align,sim5,maize,50,98.5982,68.61905,12327,176.08,9.8024
strobealign-mcs-022a721,align,sim5,maize,75,98.64405,78.753,13337,136.55,9.86515
strobealign-mcs-022a721,align,sim5,maize,100,99.17295,84.1836,14557,104.13,9.92466
strobealign-mcs-022a721,align,sim5,maize,150,99.18055,89.6777,16297,114.36,10.0148
strobealign-mcs-022a721,align,sim5,maize,200,99.07205,91.2121,18535,136.70,10.1347
strobealign-mcs-022a721,align,sim5,maize,300,98.87785,95.44135,22443,211.09,10.2882
strobealign-mcs-022a721,align,sim5,maize,500,98.44805,95.8998,31039,398.44,8.56528
bwamem,align,sim3,maize,50,99.7829,74.64105,3050,330.209,19.7359
bwamem,align,sim3,maize,75,99.81595,83.6625,3525,296.318,11.4319
bwamem,align,sim3,maize,100,99.81165,88.26735,3767,287.616,8.11913
bwamem,align,sim3,maize,150,99.78155,92.2249,4369,351.870,5.78279
bwamem,align,sim3,maize,200,99.76315,93.28155,4737,433.385,5.00076
bwamem,align,sim3,maize,300,99.6888,96.9214,6224,661.565,4.44042
bwamem,align,sim3,maize,500,99.57425,97.49775,8515,1143.547,4.16933
bwamem,align,sim4,maize,50,99.33155,73.4387,6255,343.489,19.9309
bwamem,align,sim4,maize,75,99.61335,82.86275,6898,346.192,12.2457
bwamem,align,sim4,maize,100,99.63595,87.50905,7264,361.962,8.78894
bwamem,align,sim4,maize,150,99.58495,91.6382,8301,469.514,6.23471
bwamem,align,sim4,maize,200,99.5075,92.7727,9850,597.032,5.30601
bwamem,align,sim4,maize,300,99.4099,96.5377,11802,915.608,4.61975
bwamem,align,sim4,maize,500,99.2013,97.05725,15974,1565.241,4.25685
bwamem,align,sim5,maize,50,97.502,71.272,12327,339.004,19.6861
bwamem,align,sim5,maize,75,98.358,80.9047,13337,348.200,12.2643
bwamem,align,sim5,maize,100,98.90435,85.84445,14557,368.617,8.91846
bwamem,align,sim5,maize,150,99.174,90.0958,16297,484.175,6.38267
bwamem,align,sim5,maize,200,99.0672,91.1058,18535,613.255,5.42707
bwamem,align,sim5,maize,300,98.8778,95.0991,22443,950.740,4.68508
bwamem,align,sim5,maize,500,98.44805,95.93235,31039,1636.839,4.28945
minimap2,align,sim3,maize,50,94.86475,70.02445,3050,89.263,9.30594
minimap2,align,sim3,maize,75,98.40955,81.86815,3525,129.990,8.80965
minimap2,align,sim3,maize,100,99.1738,87.2374,3767,145.710,8.44078
minimap2,align,sim3,maize,150,99.5569,91.75765,4369,200.337,8.14231
minimap2,align,sim3,maize,200,99.6604,92.8702,4737,267.377,8.00996
minimap2,align,sim3,maize,300,99.65405,95.74145,6224,536.950,7.88304
minimap2,align,sim3,maize,500,99.56885,96.4484,8515,1916.786,7.98215
minimap2,align,sim4,maize,50,92.242,65.8387,6255,84.854,9.22521
minimap2,align,sim4,maize,75,98.04285,80.14045,6898,124.564,8.80783
minimap2,align,sim4,maize,100,99.07155,86.0998,7264,61.510,8.47284
minimap2,align,sim4,maize,150,99.4451,91.08485,8301,188.890,8.1376
minimap2,align,sim4,maize,200,99.4554,92.27485,9850,255.350,8.00953
minimap2,align,sim4,maize,300,99.39615,95.04475,11802,515.121,7.89973
minimap2,align,sim4,maize,500,99.19965,95.7088,15974,1722.485,7.90974
minimap2,align,sim5,maize,50,89.74885,63.45605,12327,84.653,9.18079
minimap2,align,sim5,maize,75,96.25055,77.915,13337,125.339,8.80541
minimap2,align,sim5,maize,100,97.8465,84.31995,14557,140.210,8.44305
minimap2,align,sim5,maize,150,98.94165,89.9293,16297,193.088,8.12867
minimap2,align,sim5,maize,200,99.0051,91.25305,18535,260.588,8.00785
minimap2,align,sim5,maize,300,98.861,93.9897,22443,520.991,7.87159
minimap2,align,sim5,maize,500,98.44655,94.33035,31039,1692.591,8.05274
strobealign-0.14.0,map,sim3,maize,50,96.4145,62.6428,480,126.37,9.80008
strobealign-0.14.0,map,sim3,maize,75,99.02015,75.5027,899,102.16,9.80627
strobealign-0.14.0,map,sim3,maize,100,99.5134,81.8776,1258,75.93,9.84462
strobealign-0.14.0,map,sim3,maize,150,99.73425,88.6443,1940,56.66,9.92409
strobealign-0.14.0,map,sim3,maize,200,99.75545,90.966,2534,56.61,10.0189
strobealign-0.14.0,map,sim3,maize,300,99.6877,95.3284,4279,78.65,10.0975
strobealign-0.14.0,map,sim3,maize,500,99.57355,96.37635,7310,87.40,8.66691
strobealign-0.14.0,map,sim4,maize,50,93.83865,56.90555,852,111.89,9.80024
strobealign-0.14.0,map,sim4,maize,75,98.08575,70.9066,1797,97.50,9.80626
strobealign-0.14.0,map,sim4,maize,100,98.7362,77.37405,2376,72.97,9.85659
strobealign-0.14.0,map,sim4,maize,150,99.28445,85.4798,3490,52.59,9.86749
strobealign-0.14.0,map,sim4,maize,200,99.43155,88.4829,5017,50.49,10.0272
strobealign-0.14.0,map,sim4,maize,300,99.4079,93.85505,8105,68.37,10.207
strobealign-0.14.0,map,sim4,maize,500,99.2011,94.9546,13610,76.46,8.6625
strobealign-0.14.0,map,sim5,maize,50,91.5616,54.8536,1630,106.88,9.79993
strobealign-0.14.0,map,sim5,maize,75,96.1838,68.71485,3223,94.49,9.80626
strobealign-0.14.0,map,sim5,maize,100,97.02335,75.1734,4396,71.39,9.84275
strobealign-0.14.0,map,sim5,maize,150,97.79305,83.2067,6628,51.76,9.92602
strobealign-0.14.0,map,sim5,maize,200,98.4358,86.63195,9192,49.52,10.0118
strobealign-0.14.0,map,sim5,maize,300,98.845,92.83555,15123,66.64,10.1952
strobealign-0.14.0,map,sim5,maize,500,98.44725,93.86675,26260,73.13,8.6636
strobealign-mcs-022a721,map,sim3,maize,50,97.8452,64.5681,1866,155.07,9.78194
strobealign-mcs-022a721,map,sim3,maize,75,99.57625,75.35165,1053,106.24,9.81462
strobealign-mcs-022a721,map,sim3,maize,100,99.8035,81.6426,2487,68.63,9.83018
strobealign-mcs-022a721,map,sim3,maize,150,99.77665,88.5104,2308,70.52,9.92319
strobealign-mcs-022a721,map,sim3,maize,200,99.7599,90.87155,2859,74.56,10.0135
strobealign-mcs-022a721,map,sim3,maize,300,99.68795,95.4657,4579,98.10,10.1946
strobealign-mcs-022a721,map,sim3,maize,500,99.57385,96.6296,7616,107.21,8.48929
strobealign-mcs-022a721,map,sim4,maize,50,97.77435,60.9855,3923,144.50,9.78194
strobealign-mcs-022a721,map,sim4,maize,75,99.27155,71.93665,2146,101.02,9.81312
strobealign-mcs-022a721,map,sim4,maize,100,99.6274,78.3355,4752,65.67,9.84172
strobealign-mcs-022a721,map,sim4,maize,150,99.58085,85.9394,4222,67.39,9.92023
strobealign-mcs-022a721,map,sim4,maize,200,99.5062,88.6563,5839,69.35,10.0089
strobealign-mcs-022a721,map,sim4,maize,300,99.4095,94.1124,8773,95.36,10.1926
strobealign-mcs-022a721,map,sim4,maize,500,99.2012,95.3366,14216,97.70,8.66402
strobealign-mcs-022a721,map,sim5,maize,50,96.83045,59.0727,7672,140.77,9.78192
strobealign-mcs-022a721,map,sim5,maize,75,97.8315,69.98845,3894,99.36,9.80197
strobealign-mcs-022a721,map,sim5,maize,100,99.02555,76.53575,9224,65.23,9.82833
strobealign-mcs-022a721,map,sim5,maize,150,99.13285,84.48905,8129,67.45,9.92292
strobealign-mcs-022a721,map,sim5,maize,200,99.06235,87.37005,10843,70.41,10.0099
strobealign-mcs-022a721,map,sim5,maize,300,98.8773,93.13275,16445,89.69,10.1931
strobealign-mcs-022a721,map,sim5,maize,500,98.44805,94.20875,27560,95.58,8.66231
minimap2,map,sim3,maize,50,94.87675,64.39915,431,68.171,8.34891
minimap2,map,sim3,maize,75,98.4132,77.5072,887,97.074,8.10027
minimap2,map,sim3,maize,100,99.17435,83.94495,1310,110.115,7.89974
minimap2,map,sim3,maize,150,99.557,89.68745,2174,148.678,7.74401
minimap2,map,sim3,maize,200,99.66045,91.1636,2803,193.311,7.6617
minimap2,map,sim3,maize,300,99.65405,94.11445,4543,466.500,7.6348
minimap2,map,sim3,maize,500,99.56885,94.7373,7588,1817.485,7.782
minimap2,map,sim4,maize,50,92.28785,59.85805,749,62.464,8.31044
minimap2,map,sim4,maize,75,98.06195,74.8278,1779,94.313,8.0976
minimap2,map,sim4,maize,100,99.07475,81.92695,2529,96.985,7.90818
minimap2,map,sim4,maize,150,99.4451,88.4301,3966,135.861,7.73202
minimap2,map,sim4,maize,200,99.45545,90.01895,5737,171.660,7.65951
